city_town,Ward,Pct,PVI,PVI_N
Fairhaven,-,1,D+9,8.537276719568442
Fairhaven,-,2,D+5,4.519144582232137
Fairhaven,-,3,R+1,-0.7645002494240716
Fairhaven,-,4,D+1,1.4887902423349253
Fairhaven,-,5,R+2,-1.949920970281288
Fairhaven,-,6,R+1,-1.0963604560233264
Marion,-,1,D+12,12.02633774130174
Mattapoisett,-,1,D+5,4.95170802343603
New Bedford,3,A,D+21,21.16521635100803
New Bedford,4,D,D+21,21.224192358566974
New Bedford,4,E,D+15,14.88185487703072
New Bedford,1,A,D+4,3.9919938126588117
New Bedford,1,B,D+3,3.0131987478755007
New Bedford,1,C,D+4,4.073254411867411
New Bedford,2,A,D+20,19.89387530526119
New Bedford,2,B,D+14,13.946792071246106
New Bedford,2,C,D+10,9.946228240196664
New Bedford,2,D,D+4,3.852994396244147
New Bedford,2,E,D+5,4.818391458728599
New Bedford,2,F,D+8,7.540752693156982
New Bedford,3,B,D+24,23.557319197656334
New Bedford,3,C,D+16,15.591376585696025
New Bedford,4,A,D+29,29.17688467257755
New Bedford,4,B,D+24,24.46654872994167
New Bedford,4,C,D+27,26.81169811935615
New Bedford,4,F,D+23,22.76634400369606
New Bedford,5,A,D+17,16.534990649011995
New Bedford,5,B,D+22,21.909937636609257
New Bedford,5,C,D+10,10.151034124704594
New Bedford,5,D,D+21,20.826690938919047
New Bedford,5,E,D+11,11.425369782242345
New Bedford,5,F,D+13,12.659141055353851
New Bedford,6,A,D+8,8.115720765295775
New Bedford,6,B,D+8,7.989926922079005
New Bedford,6,C,D+22,22.19045910739199
New Bedford,6,D,D+14,14.4257174660546
New Bedford,6,E,D+16,15.947877570729274
New Bedford,6,F,D+15,14.697241914760262
New Bedford,1,D,D+1,0.8504046298618562
New Bedford,1,E,D+7,6.583959224296354
New Bedford,1,F,R+2,-2.4683849987795714
New Bedford,3,D,D+15,14.602889403531883
New Bedford,3,E,D+11,10.838748354085492
New Bedford,3,F,D+14,13.91990969247453
Rochester,-,1,R+6,-6.14547800514087
Lynn,1,3,D+10,10.450508516588231
Lynn,1,4,D+15,15.471045479837075
Lynn,2,1,D+9,9.424501660583473
Lynn,2,2,D+23,22.995587107231863
Lynn,2,3,D+30,30.330855019916047
Lynn,2,4,D+26,26.345525389223866
Lynn,3,1,D+15,14.8004010103584
Lynn,3,2,D+24,23.831292671378023
Lynn,3,3,D+21,20.970024935235166
Lynn,4,1,D+32,31.663725728720394
Lynn,4,2,D+30,29.668430308767448
Lynn,5,2,D+30,29.647857041639814
Lynn,5,3,D+31,30.508000095705658
Lynn,4,3,D+24,24.34018445343521
Lynn,5,1,D+19,19.21138460419699
Lynn,5,4,D+21,21.39416984700698
Lynn,6,1,D+24,24.37617255113572
Lynn,6,2,D+26,25.97292007333325
Lynn,6,3,D+24,23.80616527431698
Lynn,6,4,D+24,24.110353897527947
Lynn,7,1,D+16,15.69011237313771
Lynn,7,2,D+18,17.756363583422708
Lynn,7,3,D+17,16.556175687078856
Lynn,7,4,D+17,17.22260733491847
Lynn,3,4,D+25,25.233493564454555
Lynn,4,4,D+23,22.987113322106943
Lynn,1,1,D+2,1.8497642514803236
Lynn,1,2,D+5,5.434040960741737
Springfield,1,A,D+34,33.93309684164589
Springfield,1,B,D+34,33.829201786612096
Springfield,1,C,D+33,33.25428889462603
Springfield,1,D,D+35,35.37133524183734
Springfield,1,E,D+32,32.237861789903235
Springfield,1,F,D+35,35.37979496750052
Springfield,1,G,D+35,34.80233159925237
Springfield,1,H,D+36,35.70109740526433
Springfield,3,B,D+35,35.41766411904255
Springfield,3,C,D+33,33.25992587320551
Springfield,3,D,D+36,35.75428889462603
Springfield,3,E,D+33,33.46555650025983
Springfield,3,F,D+30,29.835773947663636
Springfield,3,G,D+32,31.716251408407725
Springfield,3,H,D+29,29.04169046942918
Springfield,6,A,D+30,29.67977485574914
Springfield,6,B,D+23,22.91007675796106
Springfield,6,F,D+29,29.070615425238277
Springfield,2,H,D+20,20.2337233419268
Springfield,3,A,D+34,34.11908257329153
Springfield,4,A,D+38,37.68414155317824
Springfield,4,B,D+38,38.2356205685526
Springfield,4,C,D+41,40.524025736731296
Springfield,4,D,D+41,40.8662291931335
Springfield,4,E,D+41,40.90257627975552
Springfield,4,F,D+39,39.2220308301099
Springfield,4,G,D+38,38.49663583340154
Springfield,4,H,D+42,41.99968992479527
Springfield,5,A,D+38,37.55415679422973
Springfield,5,B,D+29,28.774431678919754
Springfield,5,E,D+31,30.661696302033437
Springfield,5,F,D+24,24.263678565987533
Springfield,6,E,D+28,27.860050835490323
Springfield,7,A,D+15,15.015652530989666
Springfield,8,C,D+31,30.81953042710799
Springfield,6,C,D+21,21.072685121041125
Springfield,6,D,D+11,10.509608043562203
Springfield,6,G,D+23,22.78430708747018
Springfield,6,H,D+15,15.420633188629896
Springfield,7,B,D+13,12.980989641775064
Springfield,7,C,D+13,12.998665172744639
Springfield,7,D,D+10,9.579266513247342
Springfield,7,E,D+25,24.685874186970814
Springfield,7,G,D+6,6.374938546598186
Springfield,2,E,D+19,18.707593099978293
Springfield,8,E,D+22,22.486498632453745
Springfield,8,F,D+16,16.46549579117775
Springfield,8,G,D+19,19.10052212476019
Springfield,2,A,D+29,29.476674756187148
Springfield,2,B,D+24,24.00737531437912
Springfield,2,C,D+25,25.064822910719663
Springfield,2,D,D+23,22.540003180340317
Springfield,2,F,D+26,25.999672762458882
Springfield,2,G,D+17,17.158398483667124
Springfield,5,C,D+22,21.771364988095176
Springfield,5,D,D+12,12.283687943480325
Springfield,5,G,D+9,9.13756965172382
Springfield,5,H,D+11,10.684921525036684
Springfield,7,F,D+12,11.695584441184737
Springfield,7,H,D+16,15.69823508296684
Springfield,8,A,D+17,16.686492284456534
Springfield,8,B,D+23,22.97248535195292
Springfield,8,D,D+25,25.416918652411503
Springfield,8,H,D+27,26.666624702735685
Newton,1,1,D+20,20.002036642373778
Newton,1,4,D+19,19.4205588708246
Newton,1,2,D+35,34.50988655222162
Newton,1,3,D+37,36.84398933218914
Newton,2,1,D+29,29.30968056948673
Newton,2,2,D+32,32.34194968547882
Newton,2,3,D+36,35.823753650402566
Newton,2,4,D+36,36.11677021002214
Newton,3,1,D+30,30.050030949547345
Newton,3,2,D+36,36.42498233673459
Newton,3,3,D+25,24.62533245463856
Newton,3,4,D+24,24.210055087359052
Newton,4,1,D+30,29.828713095382298
Newton,4,2,D+35,35.43283408198826
Newton,4,3,D+31,31.16934680968394
Newton,4,4,D+26,25.656795858414327
Newton,7,2,D+34,34.26627861772052
Newton,5,1,D+30,29.844546774282186
Newton,5,2,D+36,36.2489679767677
Newton,5,3,D+36,36.450465120727436
Newton,5,4,D+37,36.658422074878615
Newton,6,1,D+27,27.31578907237221
Newton,6,2,D+37,36.967096139127975
Newton,6,3,D+39,38.67345057127274
Newton,6,4,D+38,37.980316291886304
Newton,7,1,D+31,31.08594998715669
Newton,7,3,D+34,34.35005316718588
Newton,7,4,D+31,30.61862997989735
Newton,8,1,D+23,22.82239991133518
Newton,8,2,D+24,23.745689386026527
Newton,8,3,D+26,26.472414854687475
Newton,8,4,D+23,23.02991478031332
Waltham,4,2,D+14,14.30029108520653
Waltham,5,1,D+20,19.770502742128215
Waltham,6,2,D+24,23.760146189620702
Waltham,7,2,D+31,30.533823004443008
Waltham,8,1,D+29,28.809844450181586
Waltham,8,2,D+25,25.203327031649316
Waltham,9,1,D+31,30.719346073787403
Waltham,9,2,D+27,26.6952688500826
Waltham,1,1,D+16,15.669418539106116
Waltham,1,2,D+13,12.74230632381993
Waltham,2,1,D+16,16.482770073883724
Waltham,2,2,D+24,24.358277498614633
Waltham,3,1,D+6,6.004973144439418
Waltham,3,2,D+14,13.998512430359511
Waltham,4,1,D+13,12.642778103259122
Waltham,5,2,D+26,26.31551338442195
Waltham,6,1,D+24,24.358706565308765
Waltham,7,1,D+18,17.818198669062124
Watertown,-,10,D+23,22.747189503145304
Watertown,-,11,D+19,19.455446637028338
Watertown,-,12,D+24,24.003814511324318
Watertown,-,1,D+24,24.000710162519688
Watertown,-,2,D+28,27.601725251743282
Watertown,-,3,D+30,30.306406158469677
Watertown,-,4,D+33,32.8766453900943
Watertown,-,5,D+30,30.198286319795
Watertown,-,6,D+29,28.849697789891447
Watertown,-,7,D+26,25.694436224276117
Watertown,-,8,D+27,26.79224578309838
Watertown,-,9,D+27,26.906411995522017
Franklin,-,1,D+8,8.287853986930038
Franklin,-,2,D+9,8.733464891043408
Franklin,-,3,D+8,7.5459172294926375
Franklin,-,4,D+7,6.794818508533451
Franklin,-,5,D+11,10.516510207778007
Franklin,-,6,D+12,12.09736735539565
Franklin,-,7,D+12,11.787580999346703
Franklin,-,8,D+5,4.8402816125527774
Medway,-,2,D+10,9.587269587564407
Medway,-,3,D+10,10.369171401153443
Medway,-,4,D+9,8.530715820656232
Medway,-,1,D+7,6.937256385595747
Brockton,4,B,D+27,26.976121181290235
Brockton,4,C,D+19,19.32749429618964
Brockton,5,B,D+21,20.62270994725761
Brockton,5,C,D+30,29.541068023696248
Brockton,5,D,D+17,17.152997256284763
Brockton,6,A,D+27,27.24400726744677
Brockton,6,B,D+14,14.11385305927494
Brockton,6,C,D+21,21.353080650134203
Brockton,6,D,D+11,10.754288894626029
Brockton,1,A,D+32,32.09976738452946
Brockton,1,B,D+23,23.348628517267546
Brockton,1,C,D+22,22.218561034496798
Brockton,1,D,D+14,14.034283352924726
Brockton,3,D,D+13,13.145626513236374
Brockton,7,C,D+32,31.633790279667583
Brockton,7,D,D+22,22.038948599343357
Brockton,2,A,D+39,39.218812176222485
Brockton,2,B,D+37,37.395100350473285
Brockton,2,C,D+36,36.468574608911744
Brockton,2,D,D+27,26.84960662037854
Brockton,3,A,D+28,27.651683031433848
Brockton,3,B,D+33,33.02889791026541
Brockton,3,C,D+16,15.927359952875497
Brockton,4,A,D+35,35.24335049508659
Brockton,4,D,D+20,19.589319814960692
Brockton,5,A,D+34,33.62426775297698
Brockton,7,A,D+34,34.29547882597615
Brockton,7,B,D+30,30.492556042640473
East Bridgewater,-,1,R+6,-5.6609871002391845
East Bridgewater,-,2,R+6,-5.957978857982776
East Bridgewater,-,3,R+5,-4.71894019800605
East Bridgewater,-,4,R+4,-4.345017956880238
West Bridgewater,-,1,R+6,-5.604573508017352
West Bridgewater,-,2,R+5,-4.821107930770796
Boston,20,1,D+29,28.608420429196013
Boston,20,5,D+17,16.543015577513298
Boston,20,6,D+22,22.164091354558945
Boston,20,7,D+25,24.639831063300733
Boston,20,10,D+17,16.579931610512645
Boston,20,11,D+24,23.54668655544474
Boston,20,12,D+19,18.601109703874585
Boston,20,13,D+17,17.26569573873249
Boston,20,14,D+17,17.012458829266553
Boston,20,15,D+14,14.19734939284667
Boston,20,16,D+11,11.259867695183912
Boston,20,17,D+16,16.462919754607398
Boston,20,18,D+24,24.43866789590644
Boston,20,19,D+18,18.170556837209762
Boston,20,20,D+22,21.55891752756467
Boston,11,1,D+44,44.00408841347125
Boston,11,2,D+44,44.26379008227449
Boston,11,3,D+43,43.07136206535773
Boston,11,4,D+44,43.59957695261916
Boston,11,5,D+42,41.81574769696732
Boston,11,6,D+43,43.471680198973864
Boston,11,7,D+43,42.74852705083602
Boston,11,8,D+43,43.38845705205
Boston,11,9,D+43,42.62474894305218
Boston,11,10,D+45,44.98120633478236
Boston,12,7,D+44,43.51026159087177
Boston,12,9,D+44,43.97500961534675
Boston,14,3,D+45,44.790236607044335
Boston,19,6,D+45,44.60666329242369
Boston,19,7,D+42,41.82991297685804
Boston,19,9,D+42,41.968574608911744
Boston,19,10,D+37,36.63619073511683
Boston,19,11,D+41,40.79425337064735
Boston,19,13,D+37,36.9084832217232
Boston,16,8,D+23,23.052580304213123
Boston,16,11,D+18,18.000247324187235
Boston,17,4,D+38,37.646593820911534
Boston,17,10,D+44,43.55566525912532
Boston,17,11,D+44,43.97367058309214
Boston,17,12,D+42,41.52003835154131
Boston,17,13,D+31,30.958691410349303
Boston,17,14,D+36,36.125189467244454
Boston,18,1,D+44,43.58139169836435
Boston,18,2,D+46,45.50428889462603
Boston,18,3,D+46,45.91742822443202
Boston,18,4,D+44,43.93250883472016
Boston,18,5,D+44,44.021484661821795
Boston,18,6,D+45,44.68162153423755
Boston,18,21,D+45,44.56747779618438
Boston,7,9,D+26,25.74215297229593
Boston,13,6,D+38,38.03653345073993
Boston,13,7,D+26,26.064939782199993
Boston,13,8,D+28,27.85992269744293
Boston,13,9,D+32,32.41625711605094
Boston,13,10,D+23,22.783678060972555
Boston,15,6,D+16,16.37310077581415
Boston,16,1,D+26,26.10896017490285
Boston,16,2,D+20,19.92350788390628
Boston,16,3,D+32,32.29255676975191
Boston,16,4,D+31,30.573788610373608
Boston,16,5,D+27,26.721990446954525
Boston,16,6,D+30,29.54461147527119
Boston,16,7,D+14,14.350545579118013
Boston,16,9,D+5,4.941622818452429
Boston,16,10,D+11,11.130372525426646
Boston,16,12,R+1,-0.6774463841650036
Boston,17,3,D+43,42.51324654934916
Boston,17,5,D+44,44.09891400754382
Boston,18,9,D+32,32.41314654745958
Boston,18,10,D+35,34.699613293042106
Boston,18,11,D+38,38.05020726197297
Boston,18,12,D+32,31.645744866727167
Boston,18,13,D+37,37.433393372237965
Boston,18,14,D+38,37.815875533456925
Boston,18,15,D+41,41.19161349705821
Boston,18,16,D+21,21.032511472688476
Boston,18,17,D+32,32.04633782428964
Boston,18,18,D+32,32.29000318034031
Boston,18,19,D+33,33.071609598279615
Boston,18,20,D+20,19.809407004862244
Boston,18,22,D+23,23.177719216218684
Boston,18,23,D+39,39.04777821303905
Boston,20,3,D+19,18.632267530616165
Boston,20,8,D+29,28.520955561292695
Boston,20,9,D+27,27.206715612550102
Boston,10,1,D+41,41.05186281426212
Boston,10,2,D+38,38.38479460425083
Boston,10,3,D+38,38.36325788037623
Boston,10,4,D+33,32.78064980332728
Boston,10,5,D+38,38.380200094095876
Boston,10,6,D+41,41.12006882207464
Boston,10,7,D+43,43.3896720979303
Boston,10,8,D+41,41.325974917853905
Boston,10,9,D+43,43.18650322645301
Boston,19,1,D+45,44.98878960451718
Boston,19,2,D+30,30.274973063281564
Boston,19,3,D+42,41.64364463692295
Boston,19,4,D+45,45.427855773606915
Boston,19,5,D+41,41.2741628645727
Boston,19,8,D+43,43.28622643898373
Boston,20,2,D+33,32.84151947616324
Boston,20,4,D+38,37.598551189708
Boston,21,3,D+39,38.80698812341781
Boston,21,5,D+41,40.59972559727568
Boston,21,6,D+37,37.46105092323461
Boston,21,7,D+39,39.1404923185938
Boston,21,8,D+41,40.865753862778895
Boston,21,9,D+38,37.74114746784255
Boston,21,10,D+35,34.724278721686055
Boston,21,11,D+38,38.363716504053635
Boston,21,12,D+30,30.477511216858254
Boston,21,15,D+40,39.56844569101633
Boston,22,2,D+36,36.15855797612668
Boston,22,3,D+31,30.81801257397586
Boston,22,6,D+33,33.4021806504473
Boston,22,9,D+28,27.59008225255961
Boston,22,10,D+33,32.86967351001064
Boston,21,2,D+40,40.460523906616444
Boston,21,4,D+41,41.06224604841333
Boston,21,13,D+22,21.902937543274682
Boston,21,14,D+39,39.132437294898324
Boston,21,16,D+32,31.91765523125969
Boston,22,1,D+38,37.63416264137687
Boston,22,4,D+33,33.156971693153125
Boston,22,5,D+32,32.384190855410345
Boston,22,7,D+35,34.98455775845951
Boston,22,8,D+26,26.201271410136464
Boston,22,11,D+30,30.10684087950316
Boston,22,12,D+30,29.898648359253176
Boston,22,13,D+32,31.681651376995568
Boston,1,1,D+29,29.345720201471416
Boston,1,2,D+29,28.751671093578913
Boston,1,3,D+31,30.855825667403202
Boston,1,4,D+31,31.474755410803613
Boston,1,5,D+29,28.87102898273176
Boston,1,6,D+29,29.476153846394514
Boston,1,7,D+29,28.66417436780264
Boston,1,8,D+28,28.335042595837333
Boston,1,9,D+29,28.530423016913996
Boston,1,10,D+26,26.254288894626033
Boston,1,11,D+15,15.133895774232908
Boston,1,12,D+12,11.729116140430573
Boston,1,13,D+20,19.783875794514383
Boston,1,14,D+14,13.792287389735137
Boston,2,1,D+24,24.313220754662858
Boston,2,2,D+28,28.27397393399611
Boston,2,3,D+30,30.277238320890376
Boston,2,4,D+29,29.039318561444837
Boston,2,5,D+26,25.56891815314306
Boston,2,6,D+23,22.55320014503843
Boston,2,7,D+25,24.779745559997192
Boston,3,1,D+23,22.53640476364366
Boston,3,2,D+23,23.49639415778393
Boston,3,3,D+25,24.679259813586864
Boston,3,4,D+23,23.14924687781931
Boston,3,6,D+29,28.78349508533996
Boston,3,7,D+40,40.025045691099216
Boston,3,8,D+34,34.28311195307279
Boston,4,1,D+39,38.910766838356494
Boston,4,3,D+40,40.22583361007318
Boston,5,1,D+37,36.68673990872022
Boston,1,15,D+48,48.25428889462603
Boston,6,1,D+28,28.23050768178418
Boston,6,2,D+26,25.505961565753154
Boston,6,3,D+23,23.28074392108106
Boston,6,4,D+20,20.37215261469969
Boston,6,5,D+20,20.28121484825356
Boston,6,6,D+14,14.14644145929065
Boston,6,7,D+15,15.026315761477072
Boston,6,8,D+14,14.024353970547942
Boston,6,9,D+8,7.791861148961288
Boston,7,1,D+12,12.300309987626989
Boston,7,2,D+15,14.945933705416593
Boston,7,3,D+15,15.026329639269509
Boston,7,4,D+20,20.02091476161909
Boston,7,5,D+26,25.815264504382128
Boston,7,6,D+24,24.24387222795936
Boston,7,7,D+31,31.101511116848258
Boston,7,8,D+27,26.810206375624944
Boston,13,3,D+36,36.32768339003888
Boston,7,10,D+41,41.00353360761697
Boston,8,5,D+41,41.378534974240026
Boston,8,6,D+38,38.45966014265131
Boston,8,7,D+43,42.87794480860453
Boston,12,6,D+43,42.86457081834079
Boston,13,1,D+43,42.744647021347795
Boston,13,2,D+42,42.00428889462603
Boston,13,4,D+42,41.985175744778935
Boston,13,5,D+41,41.309844450181586
Boston,14,1,D+43,42.76585258119835
Boston,15,1,D+43,42.52949897865964
Boston,15,2,D+44,43.974133252602684
Boston,15,3,D+41,40.806181446518586
Boston,15,4,D+36,35.926666663117466
Boston,15,5,D+42,41.85184987023579
Boston,15,7,D+42,42.323357963695095
Boston,15,8,D+28,27.92642004216701
Boston,15,9,D+31,30.908106537324322
Boston,17,1,D+42,42.48634791541745
Boston,17,2,D+40,39.55863672071298
Boston,14,2,D+44,43.637924679407945
Boston,14,4,D+43,43.22035224304231
Boston,14,5,D+46,45.71621782863618
Boston,14,6,D+43,42.957223755041205
Boston,14,7,D+44,43.60312610392836
Boston,14,8,D+45,44.96031748381186
Boston,14,9,D+44,43.835096975434105
Boston,14,10,D+43,43.32760267761723
Boston,14,11,D+43,43.48616348639611
Boston,14,12,D+45,45.142255699605286
Boston,14,13,D+45,44.775384379452085
Boston,14,14,D+45,45.458863227535815
Boston,17,6,D+42,41.70964108541915
Boston,17,7,D+44,43.86557416108371
Boston,17,8,D+43,42.901644058353995
Boston,17,9,D+42,41.87285307156584
Boston,18,7,D+37,37.228880546168675
Boston,18,8,D+39,39.04658011518277
Boston,19,12,D+37,36.807548036120465
Boston,4,8,D+34,34.10914744321152
Boston,4,9,D+43,42.839441733053974
Boston,4,10,D+39,39.093983551114576
Boston,5,2A,D+36,36.19970208643801
Boston,9,4,D+42,41.62534790836896
Boston,9,5,D+44,44.397043040264094
Boston,12,1,D+44,43.76710940744655
Boston,12,2,D+44,44.1572324109347
Boston,12,3,D+44,43.92858914907896
Boston,12,4,D+43,42.56546093026687
Boston,12,5,D+45,44.802512244879836
Boston,12,8,D+43,43.49238413272126
Boston,21,1,D+41,40.711810651774805
Boston,3,5,D+31,30.721414755615385
Boston,4,6,D+35,35.26423623225037
Boston,5,3,D+35,34.584670103713435
Boston,5,4,D+37,37.23439625174634
Boston,5,5,D+33,32.898483651180335
Boston,5,6,D+31,31.399919962587198
Boston,5,7,D+32,32.246814587556585
Boston,5,8,D+32,32.47588777260639
Boston,5,9,D+35,34.50723469195517
Boston,5,11,D+35,34.767257194337844
Boston,4,2,D+33,33.39754212937649
Boston,4,4,D+41,41.08743559115459
Boston,4,5,D+37,37.00366106941257
Boston,4,7,D+39,39.41230372634309
Boston,5,2,D+40,39.90035908740902
Boston,5,10,D+34,33.7527783206079
Boston,8,1,D+39,39.3078498128132
Boston,8,2,D+39,39.14003985739881
Boston,8,3,D+42,42.21402043825019
Boston,8,4,D+43,43.051976755897705
Boston,9,1,D+39,38.86443152537088
Boston,9,2,D+41,40.76915423215664
Boston,9,3,D+43,42.87438068452914
Brookline,-,14,D+34,33.71301621381847
Brookline,-,15,D+28,27.705992712202253
Brookline,-,16,D+32,31.65313981691209
Brookline,-,2,D+37,37.079503794339495
Brookline,-,3,D+39,38.59519798553512
Brookline,-,4,D+35,35.246881487218616
Brookline,-,6,D+40,40.289458276575864
Brookline,-,7,D+39,38.67732062200558
Brookline,-,8,D+41,41.02071628280935
Brookline,-,9,D+38,38.40017383819884
Brookline,-,10,D+37,37.42140919947089
Brookline,-,11,D+38,38.28270532448912
Brookline,-,12,D+38,38.15857330665885
Brookline,-,13,D+38,37.75835606859611
Brookline,-,5,D+38,38.09043840819489
Brookline,-,1,D+39,38.97447107509856
Hopedale,-,1,D+8,7.689914996918801
Mendon,-,1,R+1,-0.8327599376457329
Milford,-,1,D+9,8.522559014885045
Milford,-,2,D+9,8.776465679778589
Milford,-,3,D+5,5.262784040257095
Milford,-,4,D+9,9.428904582446284
Milford,-,5,D+7,6.879625821849745
Milford,-,6,D+10,9.531383212142142
Milford,-,7,D+7,6.752312610041045
Milford,-,8,D+10,10.491865296433101
Acushnet,-,1,R+3,-3.43857688530142
Acushnet,-,2,R+9,-8.541206370283106
Acushnet,-,3,R+7,-6.979732242767023
Nahant,-,1,D+12,11.816868988602957
Dedham,-,1,D+26,25.631571322892565
Dedham,-,2,D+14,14.443609282975544
Dedham,-,3,D+16,15.960419972850126
Dedham,-,4,D+16,16.019582277896937
Dedham,-,5,D+11,10.646454900688052
Dedham,-,6,D+16,15.81938711299058
Dedham,-,7,D+8,8.225282368157572
Walpole,-,8,D+3,3.0461837467618436
Walpole,-,1,D+9,9.169284658534526
Walpole,-,2,D+4,3.718839700871235
Walpole,-,6,D+7,6.512864092515214
Walpole,-,7,D+4,4.0632505259649125
Walpole,-,3,D+6,5.7321419430887754
Walpole,-,4,D+11,11.39989729847779
Walpole,-,5,D+4,4.1413088882788385
Westwood,-,1,D+15,14.709583758291211
