city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,Field_25,Quintal_25
Easton,-,4A,Third Bristol,"Norfolk, Plymouth & Bristol",Second,8,654.9192792906056,382.45886030449464,491.5119340918677,367.9921897062675,584,444,203,216
Easton,-,5,Third Bristol,"Norfolk, Plymouth & Bristol",Second,8,1333.979207463011,802.7281208353731,983.5004861564404,731.3536894344268,1230,760,409,302
Easton,-,6,Third Bristol,"Norfolk, Plymouth & Bristol",Second,8,1260.703125,925.3911133,931.5195313,867.6088867,1111,1009,421,443
Taunton,1,A,Third Bristol,Third Bristol & Plymouth,First,4,870.5203134058656,524.3891778,719.8616442459667,494.5616065353462,820,659,137,111
Taunton,1,B,Third Bristol,Third Bristol & Plymouth,First,4,999,893,798,793,931,1029,192,259
Taunton,2,A,Third Bristol,Third Bristol & Plymouth,First,4,744.2207278481013,319.09071729957805,607.0506329113924,281.1500527,550,412,50,50
Taunton,2,B,Third Bristol,Third Bristol & Plymouth,First,4,843.7792721518987,458.9092827004219,715.9493670886076,438.8499473,736,591,100,92
Taunton,5,A,Third Bristol,Third Bristol & Plymouth,First,4,877,520,705,458,690,621,86,96
Taunton,5,B,Third Bristol,Third Bristol & Plymouth,First,4,835,502,694,393,749,522,158,86
Taunton,7,A,Third Bristol,Third Bristol & Plymouth,First,4,1013,808,876,733,915,919,197,215
Taunton,7,B,Third Bristol,Third Bristol & Plymouth,First,4,1043,1048,817,922,978,1192,178,258
Taunton,8,A,Third Bristol,Third Bristol & Plymouth,First,4,1073,880,856,836,1120,1028,238,209
Taunton,8,B,Third Bristol,Third Bristol & Plymouth,First,4,1139,949,907,882,1042,1021,206,214