city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,Bowen_25,Long_25
Beverly,1,1,Sixth Essex,Second Essex,Fifth,6,1323.4619079950885,654.1850732602376,1018.5400875078687,667.3039996550045,1260,705,281,101
Beverly,1,2,Sixth Essex,Second Essex,Fifth,6,1514.148100861794,718.5336737950846,1158.501117140121,763.8317906,1453,762,325,121
Beverly,2,1,Sixth Essex,Second Essex,Fifth,6,1480.2747678018577,444.9380804953561,1056.2525799793602,413.5642414860681,1422,593,257,59
Beverly,2,2,Sixth Essex,Second Essex,Fifth,6,1629.6358183376178,461.6466723793202,1347.908597543559,488.4547272207941,1411,475,405,70
Beverly,3,1,Sixth Essex,Second Essex,Fifth,6,1166.4107473027125,418.3152115263326,826.7133379137459,355.1677492188118,947,407,175,46
Beverly,3,2,Sixth Essex,Second Essex,Fifth,6,1238.5081649148992,606.5274517721828,1017.7186432953856,602.9888608669017,1137,667,285,108
Beverly,4,1,Sixth Essex,Second Essex,Fifth,6,818.9710037174722,352.42230483271373,676.5412639405205,303.11970260223046,715,293,236,90
Beverly,4,2,Sixth Essex,Second Essex,Fifth,6,1813.3226364426944,583.7321094663341,1476.3142139951517,556.6012525,1796,552,671,123
Beverly,5,1,Sixth Essex,Second Essex,Fifth,6,1338.1963111236485,705.5005091508064,1084.274234163518,656.1433581571907,1206,734,219,85
Beverly,5,2,Sixth Essex,Second Essex,Fifth,6,1275.0874965498206,699.6731990063483,1025.6138559205078,631.8087220535468,1206,677,278,98
Beverly,6,1,Sixth Essex,Second Essex,Fifth,6,1604.447297021764,646.0998909968853,1268.302333079018,584.9501478493022,1554,676,421,282
Beverly,6,2,Sixth Essex,Second Essex,Fifth,6,1500.5357479306308,913.4258233183984,1228.3197355212428,880.0654477376764,1429,872,396,223
Wenham,-,1,Sixth Essex,First Essex and Middlesex,Fifth,6,886.3358104036955,385.0351476,688.5334404498896,389.5649728861217,613,287,137,44