city_town,overlap,type,county,dist_population,mayor
Amesbury,,City,Essex,17279,Kassandra Gove
Andover,,Town,Essex,36491.4,
Beverly,,City,Essex,41293.237909639385,Michael P. Cahill
Boxford,,Town,Essex,8203.5,
Danvers,,Town,Essex,27643.708465608466,
Essex,,Town,Essex,3409.278161,
Georgetown,,Town,Essex,8455,
Gloucester,,City,Essex,28350.432998667486,Greg Verga
Groveland,,Town,Essex,6742,
Hamilton,,Town,Essex,7623.842105263158,
Ipswich,,Town,Essex,13309.252012383899,
Lynn,,City,Essex,100198.48056081848,Jared C. Nicholson
Lynnfield,,Town,Essex,12939.01724137931,
Manchester-by-the-Sea,,Town,Essex,5219.229131652661,
Marblehead,,Town,Essex,19987.866144639676,
Merrimac,,Town,Essex,6717,
Middleton,,Town,Essex,9510.033333333333,
Nahant,,Town,Essex,3246.4666666666667,
Newbury,,Town,Essex,6655.679824561404,
Newburyport,,City,Essex,18153.987354476114,Sean Reardon
North Andover,,Town,Essex,30953.80965320911,
Peabody,,City,Essex,53987.56722689076,Edward A. Bettencourt Jr.
Rockport,,Town,Essex,6972.999999999999,
Rowley,,Town,Essex,6139.65,
Salem,,City,Essex,43949.77281123205,Dominick Pangallo
Salisbury,,Town,Essex,8958.852307692308,
Saugus,,Town,Essex,28224.564102564105,
Swampscott,,Town,Essex,14890.857142857141,
Topsfield,,Town,Essex,6496.5,
Wenham,,Town,Essex,4933,
West Newbury,,Town,Essex,4595.5,
Bedford,"4/5",Town,Middlesex,13871.800000000001,
Billerica,"5/12",Town,Middlesex,17264.657142857144,
Burlington,,Town,Middlesex,26130.142857142855,
North Reading,,Town,Middlesex,15434.5,
Reading,,Town,Middlesex,25465.92,
Tewksbury,,Town,Middlesex,30986.6,
Wakefield,,Town,Middlesex,27156.849230769232,
Wilmington,,Town,Middlesex,23191,